"Measure","Time","Ethnicity","Ethnicity type","Role type","Broad grade","Grade","Entry level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","All staff groups","All grades","All grades","All","NA","1289793"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","All staff groups","All grades","All grades","All","10.7","131446"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","All staff groups","All grades","All grades","All","6.5","79287"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","All staff groups","All grades","All grades","All","0.6","6929"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","All staff groups","All grades","All grades","All","1.9","22843"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","All staff groups","All grades","All grades","All","2.6","31457"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","All staff groups","All grades","All grades","All","NA","60717"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","All staff groups","All grades","All grades","All","77.9","957114"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","All grades","All grades","All","NA","126523"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","All grades","All grades","All","30.2","34815"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","All grades","All grades","All","5.2","5953"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","All grades","All grades","All","2.6","2940"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","All grades","All grades","All","3.5","3975"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","All grades","All grades","All","4.6","5351"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","All grades","All grades","All","NA","11354"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","All grades","All grades","All","54","62135"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","2167"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","41.7","839"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","5.2","105"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","0.7","14"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","3","61"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","8.9","178"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","156"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","40.5","814"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","53280"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","29.1","14540"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.9","1437"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.1","1059"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.4","1212"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","3.5","1773"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","3319"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","59.9","29940"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","14005"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","31.5","3902"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","8","992"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","2.9","365"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","4.7","582"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","5.8","713"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","1607"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","47.1","5844"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","6679"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","25.3","1457"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.4","254"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.1","238"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.3","250"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3.4","197"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","911"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","58.5","3372"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","5827"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","30.2","1535"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","6.1","310"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2020","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","3.2","162"
